name,name_eng,address,telephone,lat,lon
 桃園分局, Taoyuan Precinct, 桃園市桃園區力行路258號, 03 3323811,121.2991068,25.0000839
 大樹派出所, Dashu Police Station, 桃園市桃園區樹仁二街41號, 03 3622987,121.3202184,24.9780622
 埔子派出所, Puzi Police Station, 桃園市桃園區力行路258號, 03 3353974,121.299054,25.0001591
 青溪派出所, Qingxi Police Station, 桃園市桃園區鎮撫街39號, 03 3332742,121.3141825,24.9980527
 中路派出所, Zhonglu Police Station, 桃園市桃園區中山路706號, 03 3922037,121.293853,24.99151
 景福派出所, Jingfu Police Station, 桃園市桃園區民族路110號, 03 3322762,121.3090392,24.9926128
 武陵派出所, Wuling Police Station, 桃園市桃園區復興路135號, 03 3363964,121.3121146,24.9900362
 同安派出所, Tong-an Police Station, 桃園市桃園區經國路799號, 03 3568289,121.300713,25.02792
 龍安派出所, Long-an Police Station, 桃園市桃園區國豐一街101號, 03 3601975,121.2811322,24.9909892
 大園分局, Dayuan Precinct, 桃園市大園區中正西路13號, 03 3866555,121.195741,25.0634017
 潮音派出所, Chaoyin Police Station, 桃園市大園區潮音北路473號, 03 3867677,121.1715365,25.08118
 觀音分駐所, Guanyin Police Station, 桃園市觀音區中山路14號, 03 4732025,121.0821112,25.0365542
 草漯派出所, Caota Police Station, 桃園市觀音區草新里1鄰大觀路2段77號, 03 4831224,121.1429548,25.0471997
 新坡派出所, Xinpo Police Station, 桃園市觀音區中山路2段668號, 03 4981001,121.1362044,25.0126598
 竹圍派出所, Zhuwei Police Station, 桃園市大園區竹圍街10號, 03 3835089,121.2438005,25.104005
 埔心派出所, Puxin Police Station, 桃園市大園區埔心里埔心街1號, 03 3811684,121.2244021,25.0542409
 大園派出所, Dayuan Police Station, 桃園市大園區中正西路13號, 03 3862804,121.195741,25.0634017
 三果派出所, Sanguo Police Station, 桃園市大園區三和路25號, 03 3936119,121.257167,25.0732019
 蘆竹分局, Luzhu Precinct, 桃園市蘆竹區南崁路177號, 03 2220307,121.2937787,25.04729816
 南崁派出所, Nankan Police Station, 桃園市蘆竹區南崁路177號, 03-3223981,121.2937787,25.04729816
 大竹派出所, Dazhu Police Station, 桃園市蘆竹區大竹路540號, 03 3232704,121.2594456,25.0241944
 南竹派出所, Nanzhu Police Station, 桃園市蘆竹區南竹路2段97號, 03 3121090,121.2848687,25.0413486
 外社派出所, Waishe Police Station, 桃園市蘆竹區山林路2段405號, 03 3241749,121.3041719,25.0834926
 大溪分局, Daxi Precinct, 桃園市大溪區復興路一段385號, 03 3883851,121.2951797,24.8611606
 復興分駐所, Fuxing Police Station, 桃園市復興區中正路2號, 03 3822604,121.350961,24.814182
 羅浮派出所, Luofu Police Station, 桃園市復興區羅浮里3鄰3號, 03 3822606,121.3648552,24.7975344
 榮華派出所, Ronghua Police Station, 桃園市復興區高義里11鄰卡義蘭2號, 03 3821016,121.347674,24.7391911
 巴陵派出所, Baling Police Station, 桃園市復興區華陵里9鄰44號, 03 3912180,121.3985715,24.6859473
 奎輝派出所, Kuihui Police Station, 桃園市復興區奎輝里4鄰中奎輝37號, 03 3822960,121.3353273,24.7961044
 三光派出所, Sanguang Police Station, 桃園市復興區三光里7鄰武道能敢32號, 03 3912258,121.3671854,24.6720607
 光華派出所, Guanghua Police Station, 桃園市復興區華陵里4鄰12號, 03 3912253,121.3995747,24.6553641
 霞雲派出所, Xiayun Police Station, 桃園市復興區霞雲里6鄰21號, 03 3822607,121.3839299,24.816666
 長興派出所, Changxing Police Station, 桃園市復興區長興里16鄰頭角29號, 03 3822961,121.3071505,24.7996404
